year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2020,Service,Services,TN,10,852309.8,91422.69,Accessibility Standards Canada,Normes d’accessibilité Canada
2020,Good,Biens,TN,0,0,0,Accessibility Standards Canada,Normes d’accessibilité Canada
2020,Construction,Construction,TN,0,0,0,Accessibility Standards Canada,Normes d’accessibilité Canada
2021,Service,Services,TN,19,721719.41,51132.5,Accessibility Standards Canada,Normes d’accessibilité Canada
2021,Good,Biens,TN,1,15849.3,0,Accessibility Standards Canada,Normes d’accessibilité Canada
2021,Construction,Construction,TN,0,0,0,Accessibility Standards Canada,Normes d’accessibilité Canada
2018,Service,Services,OB,25,2115638.29,469802.28,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Good,Biens,OB,10,1025515.76,309084.56,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Construction,Construction,OB,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Service,Services,TC,16,729407.69,141116.20,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Good,Biens,TC,11,892195.54,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Construction,Construction,TC,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Service,Services,TN,28,776811.93,232274.26,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Good,Biens,TN,12,316011.88,45870.42,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Construction,Construction,TN,1,19047.09,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Service,Services,TC,9,240462.25,196980.36,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Good,Biens,TC,8,1283237.91,34115.56,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Construction,Construction,TC,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Service,Services,TN,11,345010.48,6252.61,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Good,Biens,TN,10,488427.04,370001.93,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Construction,Construction,TN,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Service,Services,OB,26,3275022.00,1003531.44,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Good,Biens,OB,2,78325.3,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Construction,Construction,OB,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Service,Services,TC,17,561074.46,205393.50,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
