year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,211,435738.75,50534.44,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Good,Biens,34,137159.94,7247.08,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Service,Services,182,411043.23,48913.03,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Good,Biens,34,108941.64,12316.99,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2018,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Service,Services,102,322376.55,39810.51,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Good,Biens,14,62293.09,17204.35,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Service,Services,76,270299.25,-5865.64,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Good,Biens,4,23285.11,3420.34,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2020,Construction,Construction,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Service,Services,3684,9862656.52,475833.25,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,8897,16415452.29,-23434.59,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,88,383307.06,102075.57,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Service,Services,2998,8898032.38,385217.23,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Good,Biens,6604,13253269.65,121893.02,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Construction,Construction,171,683211.96,147886.75,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,3274,9650962.18,299607.1,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,7364,14107490.85,111129.58,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,133,525900.73,132296.04,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Service,Services,2313,7915660.96,294836.52,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Good,Biens,5450,13569635.84,65882.51,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2020,Construction,Construction,222,798100.32,92407.91,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,375,859933.9,35279.35,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Good,Biens,307,485315.11,5677.37,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2017,Construction,Construction,3,6624.93,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Service,Services,376,1160876.92,37857.79,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Good,Biens,270,446770.31,-676.89,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2018,Construction,Construction,0,0,0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Service,Services,353,923301.64,24542.7,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
2019,Good,Biens,273,503785.66,-11704.71,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
